DateTime,High,Open,Close,Low,Volume,MA7,RSI14
29/09/2016 14:00:00,543.84,543.84,543.5,541.67,15.239774,543.05285714285714285714285714,56.49
29/09/2016 15:00:00,544.02,543.46,542.73,542.52,15.7111,543.02714285714285714285714286,51.61
29/09/2016 16:00:00,544.48,542.74,543.48,542.74,25.01456154,543.09,55.63
29/09/2016 17:00:00,543.77,543.41,543.72,543.28,13.79,543.28428571428571428571428571,56.87
29/09/2016 18:00:00,543.76,543.68,542.9,542.82,12.80159,543.29428571428571428571428571,51.59
29/09/2016 19:00:00,543.06,542.86,542.95,542.68,4.85,543.30285714285714285714285714,51.88
29/09/2016 20:00:00,543.79,542.86,542.71,541,50.86013159,543.14142857142857142857142857,50.30
29/09/2016 21:00:00,543.86,542.72,543.86,542.72,5.66,543.19285714285714285714285714,57.04
29/09/2016 22:00:00,543.86,543.86,542.06,540,18.271849,543.09714285714285714285714286,46.43
29/09/2016 23:00:00,542.84,542.07,542.66,542.07,4.6389,542.98,49.78
30/09/2016 00:00:00,542.66,542.66,542.61,542.61,4.78,542.82142857142857142857142857,49.50
30/09/2016 01:00:00,542.6,542.6,541.4,541,3.18,542.60714285714285714285714286,43.21
30/09/2016 02:00:00,542.87,541.41,539.5,539.5,10.3,542.11428571428571428571428571,35.57
30/09/2016 03:00:00,541.81,541.25,541.66,541.25,1.11,541.96428571428571428571428571,47.04
30/09/2016 04:00:00,541.92,541.66,541.74,540.15,5.68,541.66142857142857142857142857,47.41
30/09/2016 05:00:00,541.74,541.74,541.74,541.64,1.12,541.61571428571428571428571429,47.41
30/09/2016 06:00:00,542.77,541.74,542.49,541.64,15.96,541.59142857142857142857142857,50.91
30/09/2016 07:00:00,545.27,542.5,542.95,542.46,31.549983,541.64,52.97
30/09/2016 08:00:00,545.57,542.94,545.54,542.6,17.8328,542.23142857142857142857142857,62.53
30/09/2016 09:00:00,546.17,545.54,544.27,542.84,47.64557567,542.91285714285714285714285714,56.47
30/09/2016 10:00:00,546.63,544.17,544.97,543.11,43.25147707,543.38571428571428571428571429,58.83
30/09/2016 11:00:00,545.75,544.89,545.75,544.78,11.31,543.95857142857142857142857143,61.36
30/09/2016 12:00:00,545.75,545.75,545.75,545,15.67,544.53142857142857142857142857,61.36
30/09/2016 13:00:00,547.21,545.75,545.32,544.41,24.2,544.93571428571428571428571429,59.20
30/09/2016 14:00:00,545.97,545.32,545.79,545.01,6.09,545.34142857142857142857142857,60.82
30/09/2016 15:00:00,546.97,545.79,544.7,544.69,26.56,545.22142857142857142857142857,55.34
30/09/2016 16:00:00,545.04,544.69,544.95,544.6,19.16423754,545.31857142857142857142857143,56.31
30/09/2016 17:00:00,545.95,545.04,545.54,544.48,11.02,545.40,58.60
30/09/2016 18:00:00,545.55,545.45,544.73,544.3,14.0878512,545.25428571428571428571428571,54.39
30/09/2016 19:00:00,544.66,544.66,544,543.92,6.1769,545.00428571428571428571428571,50.83
30/09/2016 20:00:00,544.73,543.95,544.54,542.7,35.01542685,544.89285714285714285714285714,53.27
30/09/2016 21:00:00,544.54,544.54,544.4,544.22,5.5452,544.69428571428571428571428571,52.54
30/09/2016 22:00:00,544.62,544.31,544.62,544.15,2.98674564,544.68285714285714285714285714,53.61
30/09/2016 23:00:00,547.03,544.63,546.42,544.63,5.92738269,544.89285714285714285714285714,61.29
01/10/2016 00:00:00,548,546.52,548,546.52,2.26,545.24428571428571428571428571,66.53
01/10/2016 01:00:00,548.69,548,548.69,547.92,1.57,545.81,68.53
01/10/2016 02:00:00,549.44,548.69,549.28,548.69,2.48,546.56428571428571428571428571,70.18
01/10/2016 03:00:00,549.27,549.27,549.11,549.11,1.3,547.21714285714285714285714286,69.06
01/10/2016 04:00:00,549.16,549.11,549.16,549.11,1.09,547.89714285714285714285714286,69.21
01/10/2016 05:00:00,549.5,549.1,548.27,548.1,25.06,548.41857142857142857142857143,63.13
01/10/2016 06:00:00,549.3,548.26,549.3,548.24,3.13,548.83,66.77
01/10/2016 07:00:00,550,549.3,549.32,549.15,10.51141148,549.01857142857142857142857143,66.84
01/10/2016 08:00:00,549.62,549.23,548.97,547.9,11.61645918,549.05857142857142857142857143,64.34
01/10/2016 09:00:00,549.06,548.97,547.35,546.76,27.250085,548.78285714285714285714285714,54.24
01/10/2016 10:00:00,548,547.47,548,546.73,11.74999999,548.62428571428571428571428571,57.15
01/10/2016 11:00:00,550,548,549.74,547.02,16.775165,548.70714285714285714285714286,63.78
01/10/2016 12:00:00,549.77,549.74,548,547.17,16.52,548.66857142857142857142857143,54.67
01/10/2016 13:00:00,549.32,548.01,548.36,547,21.82,548.53428571428571428571428571,56.06
01/10/2016 14:00:00,549.95,548.46,548.89,548.46,10.84,548.47285714285714285714285714,58.11
01/10/2016 15:00:00,550,548.98,550,548.98,6.08,548.62,62.10
01/10/2016 16:00:00,550.86,550,550.86,549.87,7.865611,549.12142857142857142857142857,64.89
01/10/2016 17:00:00,551.43,550.86,550.43,549.31,17.79,549.46857142857142857142857143,62.42
01/10/2016 18:00:00,551.5,550.53,551.5,550.53,4.90095,549.72,65.90
01/10/2016 19:00:00,551.99,551.5,551.99,551.44,3.52,550.29,67.39
01/10/2016 20:00:00,551.99,551.99,551.42,551.1,6.98,550.72714285714285714285714286,63.89
01/10/2016 21:00:00,551.5,551.42,550.73,550.73,4.02,550.99,59.84
01/10/2016 22:00:00,550.77,550.73,550.6,550.49,4.845184,551.07571428571428571428571429,59.08
01/10/2016 23:00:00,550.6,550.6,550.6,550.55,2.15,551.03857142857142857142857143,59.08
02/10/2016 00:00:00,550.65,550.54,550.49,550.21,2.06,551.04714285714285714285714286,58.41
02/10/2016 01:00:00,550.5,550.5,550.5,550.5,1.23,550.90428571428571428571428571,58.45
02/10/2016 02:00:00,550.5,550.5,550.5,550.4,0.34,550.69142857142857142857142857,58.45
02/10/2016 03:00:00,550.5,550.5,550.48,550.28,0.32,550.55714285714285714285714286,58.31
02/10/2016 04:00:00,550.48,550.48,550.48,550.48,0.29,550.52142857142857142857142857,58.31
02/10/2016 05:00:00,550.5,550.49,549.37,549.36,3.596836,550.34571428571428571428571429,50.99
02/10/2016 06:00:00,549.35,549.35,549.08,549,3.43,550.12857142857142857142857143,49.25
02/10/2016 07:00:00,549.1,549.01,549.1,549,4.17,549.93,49.38
02/10/2016 08:00:00,549.15,549.01,548.52,548.45,6.28013661,549.64714285714285714285714286,45.76
02/10/2016 09:00:00,548.97,548.59,548.85,548.4,12.13,549.41142857142857142857142857,48.09
02/10/2016 10:00:00,549.06,548.92,549.06,548.8,7.34,549.20857142857142857142857143,49.57
02/10/2016 11:00:00,549.06,549.06,549.06,548.93,4.99,549.00571428571428571428571429,49.57
02/10/2016 12:00:00,549,549,548.01,544.37,25.029298,548.81142857142857142857142857,42.96
02/10/2016 13:00:00,548.01,548.01,547.38,546.62,14.59305915,548.56857142857142857142857143,39.56
02/10/2016 14:00:00,547.54,547.38,546.99,546.79,7.73,548.26714285714285714285714286,37.57
02/10/2016 15:00:00,547.59,547.09,545,545,15.90426845,547.76428571428571428571428571,29.44
02/10/2016 16:00:00,546.72,544.99,546.72,543.98,12.45,547.46,41.27
02/10/2016 17:00:00,547.37,546.71,546.34,546.14,11.08,547.07142857142857142857142857,39.69
02/10/2016 18:00:00,546.83,546.35,545.93,545.6,8.36,546.62428571428571428571428571,37.99
02/10/2016 19:00:00,547.55,546.03,547,545.97,21.66,546.48,44.63
02/10/2016 20:00:00,547.48,546.97,546.54,545.26,13.28,546.36,42.52
02/10/2016 21:00:00,547.17,546.45,546.96,546.16,9.740985,546.35571428571428571428571429,45.07
02/10/2016 22:00:00,547.49,546.96,546.81,546.62,2.954,546.61428571428571428571428571,44.32
02/10/2016 23:00:00,548.37,546.82,548.37,546.82,7.698793,546.85,53.13
03/10/2016 00:00:00,548.34,548.34,548.31,548.06,4.36164437,547.13142857142857142857142857,52.78
03/10/2016 01:00:00,548.54,548.2,548.54,547.75,2.37,547.50428571428571428571428571,54.02
03/10/2016 02:00:00,549.15,548.53,548.82,548.53,2.88,547.76428571428571428571428571,55.54
03/10/2016 03:00:00,549.96,548.92,549.89,548.76,6.08,548.24285714285714285714285714,60.88
03/10/2016 04:00:00,549.99,549.99,549.86,549.84,1.78,548.65714285714285714285714286,60.66
03/10/2016 05:00:00,549.85,549.85,549.65,549.58,1.7,549.06285714285714285714285714,59.05
03/10/2016 06:00:00,550,549.65,549.83,544.27,27.68,549.27142857142857142857142857,60.03
03/10/2016 07:00:00,550.76,549.79,548,547.98,28.35810759,549.22714285714285714285714286,47.58
03/10/2016 08:00:00,551,548,547.4,545.36,56.93945177,549.06428571428571428571428571,44.34
03/10/2016 09:00:00,550.89,547.4,548.65,547.39,32.536,549.04,51.73
03/10/2016 10:00:00,549.08,548.65,547.86,547.77,14.43,548.75,47.44
03/10/2016 11:00:00,548.57,547.76,548.05,547.72,14.43,548.49142857142857142857142857,48.54
03/10/2016 12:00:00,549.19,548.14,548.07,547.73,13.05,548.26571428571428571428571429,48.67
03/10/2016 13:00:00,548.66,548.07,548.64,546.68,30.72343,548.09571428571428571428571429,52.16
03/10/2016 14:00:00,548.8,548.55,547.79,547.52,18.38,548.06571428571428571428571429,47.02
03/10/2016 15:00:00,548.29,547.79,547.32,546.87,17.14,548.05428571428571428571428571,44.42
03/10/2016 16:00:00,549.92,547.27,548.67,546.97,32.45,548.05714285714285714285714286,52.55
03/10/2016 17:00:00,548.67,548.67,548.51,547.47,12.14,548.15,51.58
03/10/2016 18:00:00,549.13,548.54,548.6,548.32,13.51428679,548.22857142857142857142857143,52.11
03/10/2016 19:00:00,548.6,548.6,547.35,547.35,18.807,548.12571428571428571428571429,44.77
03/10/2016 20:00:00,547.46,547.46,545.91,540.47,37.678856,547.73571428571428571428571429,38.10
